id,node_id,lon,lat
354,241,55.78299276,46.56821101
355,242,55.78603933,46.56797780
356,243,55.78904363,46.56808060
357,244,55.79202415,46.56878434
358,245,55.79523020,46.56943994
359,246,55.79781284,46.56956061
360,247,55.80101683,46.57003156
361,248,55.80455150,46.57018379
362,411,55.80481768,46.57057035
363,249,55.80699135,46.57075392
364,1639,55.80555169,46.57049050
365,250,55.80998289,46.57106422
366,251,55.81299588,46.57137505
367,252,55.81599711,46.57169311
368,253,55.81899929,46.57200477
369,254,55.82200502,46.57231788
370,255,55.82504460,46.57270264
371,256,55.82733514,46.57325210
372,257,55.82880415,46.57370605
373,258,55.83099718,46.57408321
374,259,55.83399288,46.57406048
375,260,55.83626671,46.57366603
376,261,55.83771145,46.57331472
377,262,55.84000737,46.57280651
378,263,55.84299257,46.57212933
379,264,55.84598109,46.57145217
380,265,55.84884991,46.57080636
381,266,55.85020153,46.57044028
382,267,55.85200542,46.57008431
383,268,55.85502273,46.56940130
384,269,55.85800699,46.56872469
385,270,55.86098786,46.56804767
386,271,55.86442174,46.56725893
387,410,55.86299069,46.56761528
388,272,55.86698276,46.56668499
389,273,55.87000661,46.56600197
390,274,55.87301020,46.56531995
391,275,55.87557155,46.56474766
392,276,55.87699317,46.56439167
393,277,55.87898388,46.56396238
394,278,55.88199304,46.56328016
395,279,55.88501362,46.56259428
396,280,55.88789187,46.56195216
397,281,55.89121903,46.56112331
398,409,55.89014679,46.56164391
399,931,55.88923096,46.56143563
400,282,55.89398315,46.56055740
401,283,55.89700629,46.55987052
402,284,55.90001881,46.55917843
403,285,55.90253474,46.55873405
404,286,55.90347207,46.55826949
405,287,55.90598648,46.55782914
406,288,55.90899048,46.55714660
407,289,55.91201657,46.55645988
408,290,55.91487478,46.55581658
409,291,55.91622250,46.55543660
410,292,55.91799604,46.55509844
411,1379,55.91657800,46.55552538
412,293,55.92097517,46.55442296
413,294,55.92399547,46.55373438
414,295,55.92700171,46.55305047
415,296,55.92899893,46.55261601
416,297,55.93043967,46.55225729
417,298,55.93299753,46.55168651
418,299,55.93598609,46.55100672
419,300,55.93899436,46.55032082
420,301,55.94156849,46.54974580
421,302,55.94299367,46.54938810
422,303,55.94498492,46.54895726
423,304,55.94798607,46.54827396
424,305,55.95099529,46.54758820
425,306,55.95399705,46.54690494
426,307,55.95714341,46.54618169
427,408,55.95577694,46.54656203
428,1311,55.95544013,46.54648350
429,308,55.95998363,46.54553866
430,309,55.96299711,46.54485206
431,310,55.96599237,46.54417007
432,311,55.96823985,46.54367112
433,312,55.96967947,46.54331448
434,313,55.97200654,46.54279734
435,314,55.97502177,46.54209998
436,315,55.97799629,46.54143238
437,316,55.98079313,46.54080613
438,317,55.98214991,46.54042638
439,318,55.98399410,46.54006446
440,319,55.98701135,46.53936860
441,320,55.99002899,46.53868254
442,321,55.99302214,46.53800818
443,322,55.99633265,46.53723992
444,407,55.99494419,46.53760040
445,323,55.99898799,46.53664306
446,324,56.00200479,46.53595362
447,325,56.00499664,46.53527072
448,326,56.00744529,46.53472262
449,327,56.00889271,46.53436391
450,328,56.01100535,46.53389798
451,329,56.01399545,46.53321443
452,330,56.01701061,46.53252506
453,331,56.01993821,46.53185998
454,332,56.02134348,46.53145935
455,333,56.02306941,46.53113751
456,406,56.02168613,46.53153300
457,334,56.02599560,46.53047074
458,335,56.02899870,46.52978362
459,336,56.03200425,46.52909658
460,337,56.03410613,46.52863422
461,338,56.03554146,46.52827681
462,339,56.03800459,46.52772386
463,340,56.04101038,46.52703632
464,341,56.04402034,46.52634903
465,342,56.04666280,46.52575439
466,343,56.04807289,46.52539558
467,344,56.05001126,46.52497976
468,345,56.05299698,46.52429752
469,346,56.05599797,46.52361387
470,347,56.05900259,46.52292724
471,348,56.06217518,46.52219407
472,405,56.06082433,46.52257028
473,349,56.06500882,46.52155401
474,350,56.06799725,46.52087008
475,351,56.07099625,46.52018438
476,352,56.07328725,46.51967595
477,353,56.07473512,46.51931519
478,354,56.07708415,46.51865859
479,355,56.07982748,46.51789652
480,2911,56.07795484,46.51634118
481,713,56.07987314,46.51541972
482,356,56.08298916,46.51744843
483,2916,56.08252696,46.51556798
484,357,56.08582943,46.51680850
485,714,56.08050257,46.51193783
486,358,56.08699799,46.51620519
487,359,56.08899196,46.51599445
488,360,56.09202073,46.51538168
489,2915,56.09024433,46.51331122
490,361,56.09503406,46.51467683
491,2914,56.09179089,46.51264839
492,4226,56.08530824,46.50946233
493,362,56.09778649,46.51398233
494,2913,56.09521448,46.51143252
495,363,56.09904689,46.51197616
496,364,56.10045838,46.51286734
497,365,56.10096158,46.51408854
498,366,56.10274057,46.51621444
499,998,56.09910200,46.50915183
500,1365,56.10336932,46.51239711
501,367,56.10398567,46.51799411
502,999,56.09908069,46.50600915
503,1363,56.10824363,46.51040490
504,1364,56.10681089,46.51094619
505,368,56.10527450,46.51980361
506,369,56.10650274,46.52102825
507,1366,56.10945910,46.51985633
508,1367,56.11129058,46.51944765
509,370,56.10786305,46.52341952
510,1368,56.11256719,46.51922079
511,1369,56.11206823,46.51959908
512,371,56.10892835,46.52490569
513,372,56.11041663,46.52698675
514,404,56.11146083,46.52854444
515,1645,56.11152323,46.52844665
516,373,56.11259331,46.53002481
517,374,56.11406859,46.53209405
518,375,56.11513714,46.53358354
519,376,56.11664374,46.53569171
520,4418,56.12071300,46.53393573
521,4419,56.12038964,46.53394109
522,377,56.11772085,46.53719174
523,4420,56.12099529,46.53584713
524,378,56.11901188,46.53899827
525,379,56.12029579,46.54079839
526,4278,56.12226367,46.53869510
527,4415,56.12504074,46.53926723
528,380,56.12137026,46.54229156
529,4279,56.12469955,46.54175194
530,4416,56.12692031,46.53774119
531,4417,56.12742967,46.53745083
532,381,56.12286396,46.54438010
533,382,56.12406037,46.54583763
534,383,56.12575489,46.54832901
535,2904,56.12874465,46.54576411
536,384,56.12791831,46.54797614
537,385,56.13055625,46.54707933
538,386,56.13224233,46.54602437
539,397,56.12453522,46.55038048
540,398,56.12295127,46.55037140
541,387,56.13390181,46.54565476
542,399,56.11900252,46.55161127
543,4347,56.12818645,46.55068873
544,979,56.12477884,46.55395215
545,4348,56.12812788,46.55339840
546,4422,56.13453498,46.55003112
547,4280,56.13780630,46.54817521
548,4421,56.13635286,46.54997250
549,388,56.13694767,46.54460506
550,389,56.13906575,46.54370096
551,1640,56.13418694,46.54183013
552,4281,56.13908062,46.54865914
553,4619,56.13565900,46.54192036
554,390,56.14055427,46.54310320
555,4355,56.13983526,46.55015924
556,4620,56.13488900,46.54035600
557,4621,56.13566991,46.54031373
558,391,56.14302801,46.54210912
559,4605,56.14361188,46.53977613
560,392,56.14579548,46.54100381
561,393,56.14727794,46.54040613
562,4282,56.14900967,46.54146823
563,4283,56.14993079,46.54439542
564,394,56.14940710,46.53852100
565,395,56.15102533,46.53883137
566,396,56.14865231,46.53668829
567,1373,56.14282838,46.53540265
568,1374,56.14107350,46.53534411
569,955,56.14692192,46.53484408
570,978,56.15449853,46.53779149
571,2917,56.15100806,46.53731823
572,977,56.15599584,46.53710243
573,956,56.14577618,46.53270396
574,976,56.15788263,46.53696989
575,1378,56.14935012,46.53267642
576,957,56.14565122,46.53022951
577,958,56.14388987,46.53052210
578,1375,56.14082457,46.53320127
579,1376,56.14266504,46.53237951
580,1377,56.14789246,46.53026381
581,400,56.11702276,46.55231759
582,401,56.11558202,46.55320531
583,980,56.12260377,46.55712505
584,993,56.12395077,46.55593223
585,4349,56.12678867,46.55640750
586,402,56.11733000,46.55572487
587,403,56.11855702,46.55660054
588,932,56.11297834,46.55375845
589,933,56.10997561,46.55483168
590,934,56.10827165,46.55543325
591,935,56.10679954,46.55596881
592,981,56.12109486,46.55939189
593,982,56.12010153,46.56090404
594,4350,56.12501774,46.55975109
595,983,56.11921527,46.56299127
596,4351,56.12334133,46.56182917
597,425,55.19392748,46.67719305
598,426,55.19262086,46.67841866
599,427,55.19115463,46.67861955
600,428,55.18900610,46.67938251
601,564,55.19457863,46.67990057
602,1332,55.18602295,46.67420379
603,429,55.18624027,46.67948991
604,565,55.19542037,46.68303172
605,430,55.18312703,46.67951936
606,747,55.19195333,46.68515950
607,748,55.18949828,46.68481860
608,749,55.18815422,46.68438806
609,750,55.18582174,46.68397963
610,1333,55.18301361,46.67500878
611,431,55.18032167,46.67998218
612,751,55.18276805,46.68369938
613,432,55.17702304,46.68012740
614,556,55.17905385,46.67719168
615,557,55.17807594,46.67606416
