id,uwi,latitude,longitude,well_name
165,ASA_0202,46.54680000,56.40443000,
166,ASA_0203,46.54795000,56.41125000,G_203-Асар
167,ASA_0204,46.54681000,56.41668000,
168,ASA_0205,46.54557000,56.40939000,
169,ASA_0206,46.54090000,56.40593000,
170,ASA_0207,46.54227000,56.41247000,G_207/АСАР
171,ASA_0208,46.54071000,56.41164000,G_208-АСАР
172,ASA_0209,46.54421121,56.42460050,G_209 Асар
173,ASA_0210,46.53383000,56.41779000,
174,ASA_0211,46.54252000,56.42974000,
175,ASA_0212,46.54487000,56.42508000,
176,ASA_0213,46.53685000,56.41962000,213 Асар
177,ASA_0214,46.54033000,56.42766000,214-Асар доб.
178,ASA_0215,46.53723000,56.42541000,
179,ASA_0216,46.53437000,56.42418000,G_216 Асар
180,ASA_0217,46.53933000,56.42683000,
181,ASA_0218,46.53372000,56.43138000,G_218-Асар
182,ASA_0219,46.54545000,56.43669000,
183,ASA_0220,46.54086000,56.43418000,
184,ASA_0221,46.53386000,56.43152000,G_221-АСАР
185,ASA_0222,46.53365000,56.43934000,G_222-АСАР
186,ASA_0223,46.53879000,56.44299000,G_223-Асар
187,ASA_0224,46.53385000,56.43939000,G_224/Асар
188,ASA_0225,46.52879000,56.43600000,225-АСАР нагн.
189,ASA_0226,46.53459000,56.44508000,
190,ASA_0227,46.53131000,56.44373000,G_227-Асар
191,ASA_0228,46.52857000,56.44173000,G_228/Асар
192,ASA_0229,46.53020580,56.44548189,G_229 Асар
193,ASA_0230,46.54851000,56.42207000,G_230 Д Асар
194,ASA_0230Д,,,G_230Д/Асар нагн.
195,ASA_0231,46.54401000,56.41902000,
196,ASA_0232,46.54212000,56.41850000,
197,ASA_0233,46.53872000,56.41555000,
198,ASA_0234,46.52995000,56.43061000,
199,ASA_0235,46.54034000,56.43553000,
200,ASA_0236,46.53768724,56.43671747,236/Асар.нагн
201,ASA_0237,46.53465000,56.43493000,G_237/Асар
202,ASA_0238,46.55227267,56.40985472,G_238 - Асар
203,ASA_0239,46.53059938,56.44164713,G_239 Асар
204,ASA_0240,46.53607000,56.41302000,
205,ASA_0242,46.54218000,56.42335000,G_242-АСАР
206,ASA_0254,46.56250507,56.36623895,G_254/Асар
207,ASA_0255,46.54992928,56.42032860,G_255 Асар
208,ASA_0256,46.54767511,56.41992920,G_256 Асар.доб
209,ASA_0257,46.54736107,56.41663640,
210,ASA_0258,46.54127147,56.42903596,G_258-Асар
211,ASA_0259,,,G_259/Асар
